n,id,name,forename,surname,course,school,tutor,career,year,support,photo,username
523,10816069,Fiona Santus,Fiona,Santus,MSc Business and Management,Philosophy,Kevin Berry,PGT,1,N,16,zpyzl0
524,10095575,Samantha Barrie,Samantha,Barrie,BA Hons Geography with Business,Business School,Kate Beard,PGT,2,N,22,yryyf1
525,10497409,Billy Bryson,Billy,Bryson,BSc Hons Agricultural Business Management,Politics and International Relations,Kate Beard,PGR,1,N,50,fpyou5
526,10931149,Harrietta Castri,Harrietta,Castri,MSc International Business,Politics and International Relations,Frances Coady,UG,3,N,41,nayew1
527,10637117,Baron Cartmill,Baron,Cartmill,BSc Hons Accounting and Business,Biosciences,Allison Chan,PGT,1,N,38,kmyuj9
528,10726900,Cindi Hallede,Cindi,Hallede,MSc International Business,Philosophy,Simon Chew,PGR,2,N,17,ozyxm0
529,10632359,Linda Pulman,Linda,Pulman,BSc Hons Agricultural Business Management,Biosciences,Allison Chan,PGT,2,N,17,exykt3
530,10543239,Shurlock Iskower,Shurlock,Iskower,MSc Business and Management,Philosophy,Allison Chan,UG,4,N,28,qgybe4
531,10056245,Bancroft Hagley,Bancroft,Hagley,MSc Business and Management,Philosophy,Simon Chew,PGT,2,N,13,cpyim6
532,10206948,Alex Lawles,Alex,Lawles,MBA Business Administration,Law,Kevin Berry,PGT,1,N,33,mayik2
533,10147702,Shoshanna Malzard,Shoshanna,Malzard,MSc Business and Management,Business School,Simon Chew,PGT,2,N,15,gcyzv9
534,10428816,Nichole Cawthery,Nichole,Cawthery,MBA Business Administration,Philosophy,Allison Chan,PGR,3,Y,33,xzyym1
535,10099014,Ragnar Gershom,Ragnar,Gershom,MSc Business and Management,Business School,Andrew Allen,UG,1,N,10,acyap2
536,10586386,Jerrilee Wakelin,Jerrilee,Wakelin,BSc Hons Accounting and Business,Business School,Patricia Collins,UG,1,N,21,veyqx7
537,10867430,Ali Webb,Ali,Webb,BA Hons Geography with Business,Law,Kevin Berry,UG,4,N,24,kqyqx5
538,10758092,Lindsey Pain,Lindsey,Pain,MBA Business Administration,Politics and International Relations,Joshua Clarke,PGR,1,N,14,boysc9
539,10089829,Mark Whitehall,Mark,Whitehall,BSc Hons Agricultural Business Management,Law,Frances Coady,PGR,2,N,18,uaybj2
540,10471867,Karoly Jaggers,Karoly,Jaggers,MSc International Business,Law,Allison Chan,PGT,3,N,28,aoytv4
541,10233811,Kaitlin Dukes,Kaitlin,Dukes,MSc International Business,Biosciences,Allison Chan,PGT,1,N,27,ppynn0
542,10493159,Dorothee Mereweather,Dorothee,Mereweather,MSc International Business,Politics and International Relations,Patricia Collins,PGT,3,N,49,nvygy9
543,10055581,Camilla Corter,Camilla,Corter,BA Hons Geography with Business,Politics and International Relations,Joshua Clarke,PGT,2,N,2,htyvq3
544,10913036,Parsifal Dachs,Parsifal,Dachs,BSc Hons Agricultural Business Management,Business School,Kevin Berry,PGT,3,N,4,ctyrk1
545,10745357,Ransell Caston,Ransell,Caston,BSc Hons Accounting and Business,Philosophy,Simon Chew,PGR,4,N,8,ucypk7
546,10266462,Terry Macvain,Terry,Macvain,BSc Hons Accounting and Business,Philosophy,Allison Chan,PGT,1,N,2,gpypn6
547,10354439,Christy Mabbett,Christy,Mabbett,BSc Hons Accounting and Business,Law,Andrew Allen,PGR,2,Y,19,sdyag3
548,10411673,Hervey Beiderbeck,Hervey,Beiderbeck,BA Hons Geography with Business,Law,Andrew Allen,UG,1,N,31,fgyzo6
549,10357798,Elyssa Tollerton,Elyssa,Tollerton,BA Hons Geography with Business,Philosophy,Joshua Clarke,PGR,2,N,49,tryue6
550,10967358,Lula Herkess,Lula,Herkess,BA Hons Geography with Business,Philosophy,Susan Burke,PGR,1,Y,12,zxydl1
551,10625283,Gael Nerne,Gael,Nerne,BSc Hons Agricultural Business Management,Law,Kate Beard,PGT,1,N,48,rlyfo3
552,10999541,Jaclin Castelyn,Jaclin,Castelyn,BSc Hons Agricultural Business Management,Biosciences,Patricia Collins,PGR,3,N,47,dzyjp3
553,10056929,Ardeen Gabriel,Ardeen,Gabriel,MSc Business and Management,Business School,Patricia Collins,PGT,2,Y,46,seyke6
554,10876704,Gussie Yeulet,Gussie,Yeulet,MBA Business Administration,Law,Patricia Collins,PGT,1,N,13,iqynv2
555,10431127,Allie Paulitschke,Allie,Paulitschke,MSc Business and Management,Philosophy,Andrew Allen,PGR,1,N,50,cuydw9
556,10864336,Ingrim Ciabatteri,Ingrim,Ciabatteri,BSc Hons Accounting and Business,Law,Kevin Berry,UG,1,N,30,fryrp5
557,10117983,Brien Meachen,Brien,Meachen,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,UG,1,N,44,gzyrs6
558,10700854,Lynnea Outibridge,Lynnea,Outibridge,BSc Hons Accounting and Business,Biosciences,Frances Coady,PGT,1,N,35,qfyuz8
559,10777165,Crawford Leary,Crawford,Leary,BA Hons Geography with Business,Biosciences,Allison Chan,UG,4,N,13,mmylr6
560,10617509,Elwood Wretham,Elwood,Wretham,MSc Business and Management,Philosophy,Susan Burke,UG,1,Y,40,wmyaw9
561,10679905,Brendin Roset,Brendin,Roset,BSc Hons Agricultural Business Management,Business School,Kate Beard,PGR,1,N,45,qgyms5
562,10165186,Hailey Spaduzza,Hailey,Spaduzza,BA Hons Geography with Business,Biosciences,Kate Beard,UG,1,N,6,adykl8
563,10446330,Donnell Scones,Donnell,Scones,BSc Hons Accounting and Business,Biosciences,Andrew Allen,PGR,3,N,35,yayej6
564,10279588,Clarey Arnison,Clarey,Arnison,MSc International Business,Politics and International Relations,Frances Coady,PGT,2,N,10,yhyad3
565,10260006,Mattie Nurdin,Mattie,Nurdin,BA Hons Geography with Business,Law,Kate Beard,UG,3,N,36,dlybr2
566,10522247,Norina Autin,Norina,Autin,MSc International Business,Politics and International Relations,Susan Burke,PGR,4,N,17,zbycw4
567,10724018,Burg Palley,Burg,Palley,BA Hons Geography with Business,Philosophy,Patricia Collins,UG,3,N,27,azyrf9
568,10083097,Clare Gibbie,Clare,Gibbie,MBA Business Administration,Biosciences,Andrew Allen,PGR,1,N,30,bcyut8
569,10143832,Dottie Jarret,Dottie,Jarret,MSc Business and Management,Biosciences,Andrew Allen,UG,1,Y,5,ykykz5
570,10283900,Vida Cockshutt,Vida,Cockshutt,MSc International Business,Politics and International Relations,Allison Chan,UG,2,N,7,wzyuj1
571,10591195,Cristine Harvison,Cristine,Harvison,BSc Hons Agricultural Business Management,Business School,Susan Burke,UG,1,N,28,inyfh0
572,10210233,Claudetta Cudmore,Claudetta,Cudmore,MBA Business Administration,Law,Allison Chan,PGR,3,N,6,wdyxc7
573,10309006,Pete Stonary,Pete,Stonary,MSc Business and Management,Biosciences,Frances Coady,PGR,2,N,43,lcyxp3
574,10283481,Karla Tunbridge,Karla,Tunbridge,MBA Business Administration,Politics and International Relations,Patricia Collins,PGT,2,N,43,qcyro9
575,10617483,Darn Koeppke,Darn,Koeppke,MSc Business and Management,Law,Susan Burke,UG,1,Y,46,ofyod4
576,10416395,Filippa Ech,Filippa,Ech,BSc Hons Accounting and Business,Philosophy,Patricia Collins,PGT,1,N,26,cyyib9
577,10422736,Barret Croad,Barret,Croad,BSc Hons Accounting and Business,Biosciences,Andrew Allen,UG,3,Y,17,mrytt0
578,10094073,Zerk Dunphie,Zerk,Dunphie,BA Hons Geography with Business,Politics and International Relations,Patricia Collins,PGT,1,N,38,upyfn2
579,10703359,Mirna Sim,Mirna,Sim,BSc Hons Accounting and Business,Business School,Kevin Berry,PGT,4,N,38,clyct1
580,10536704,Bobbi Showen,Bobbi,Showen,MSc International Business,Biosciences,Joshua Clarke,PGR,1,N,4,vhyfi4
581,10206111,Sal Hamner,Sal,Hamner,MSc Business and Management,Politics and International Relations,Allison Chan,PGT,2,N,11,qgyui2
582,10194226,Krishnah Bourges,Krishnah,Bourges,BA Hons Geography with Business,Business School,Frances Coady,UG,3,N,44,yeyiw5
583,10149571,Nani Tween,Nani,Tween,BA Hons Geography with Business,Philosophy,Kevin Berry,UG,2,N,9,pkyzd5
584,10584910,Enriqueta Payn,Enriqueta,Payn,MSc Business and Management,Law,Andrew Allen,UG,2,N,12,kpywh4
585,10921139,Murray McCartney,Murray,McCartney,BSc Hons Agricultural Business Management,Philosophy,Patricia Collins,PGT,3,N,44,vgynh9
586,10788670,Ulrika Zannuto,Ulrika,Zannuto,BSc Hons Agricultural Business Management,Philosophy,Joshua Clarke,PGT,3,Y,39,gkyig1
587,10668239,Martino Darko,Martino,Darko,MBA Business Administration,Business School,Patricia Collins,PGT,2,N,1,sgybw6
588,10645994,Dwight Butterley,Dwight,Butterley,MBA Business Administration,Politics and International Relations,Patricia Collins,UG,4,N,35,ijypp2
589,10491093,Jennine Constantine,Jennine,Constantine,BA Hons Geography with Business,Biosciences,Simon Chew,UG,2,N,38,jjysj8
590,10321602,Tracey Linnane,Tracey,Linnane,MSc International Business,Law,Simon Chew,UG,2,N,27,ceywx8
591,10754633,Aylmer Batch,Aylmer,Batch,BSc Hons Agricultural Business Management,Business School,Simon Chew,PGR,1,N,40,suyze1
592,10885937,Nedi Raynor,Nedi,Raynor,MBA Business Administration,Politics and International Relations,Frances Coady,PGR,4,N,9,bwyhx5
593,10933726,Efrem Sommer,Efrem,Sommer,BSc Hons Accounting and Business,Philosophy,Kevin Berry,UG,3,N,34,acyzy3
594,10051408,Frederick Klampt,Frederick,Klampt,MSc International Business,Philosophy,Kevin Berry,PGR,3,N,4,gjynw4
595,10124699,Loren Phythien,Loren,Phythien,BSc Hons Accounting and Business,Philosophy,Andrew Allen,PGT,1,N,37,svycf3
596,10335989,Zahara Vaney,Zahara,Vaney,BSc Hons Accounting and Business,Philosophy,Kate Beard,PGR,2,N,19,knypx2
597,10400742,Maryjo Jeynes,Maryjo,Jeynes,MBA Business Administration,Philosophy,Joshua Clarke,PGT,4,Y,32,vtyyn8
598,10008016,Pren Dedon,Pren,Dedon,BA Hons Geography with Business,Philosophy,Joshua Clarke,PGR,2,N,2,piyzb7
599,10084016,Ronnica Maidlow,Ronnica,Maidlow,BSc Hons Accounting and Business,Philosophy,Allison Chan,UG,3,N,6,ovytd7
600,10662691,Patsy Tebboth,Patsy,Tebboth,MSc International Business,Philosophy,Susan Burke,PGT,1,N,29,doyoj7
601,10079266,Pavel Barrie,Pavel,Barrie,MSc Business and Management,Politics and International Relations,Susan Burke,UG,1,N,35,xqyks0
602,10753517,Jone Godsmark,Jone,Godsmark,BSc Hons Accounting and Business,Philosophy,Patricia Collins,PGT,2,N,47,rhykf0
603,10510757,Evey Ellsom,Evey,Ellsom,BSc Hons Accounting and Business,Philosophy,Simon Chew,PGR,2,N,15,nsyoh1
604,10485049,Ursa Woodham,Ursa,Woodham,BSc Hons Agricultural Business Management,Politics and International Relations,Kate Beard,UG,1,N,4,kvyhp3
605,10935364,Pauly Paule,Pauly,Paule,BA Hons Geography with Business,Biosciences,Andrew Allen,PGR,3,N,25,gryqt0
606,10314818,Creight Murfill,Creight,Murfill,MSc International Business,Biosciences,Kate Beard,UG,3,N,33,jsyyt1
607,10739038,Kimball McKilroe,Kimball,McKilroe,BA Hons Geography with Business,Law,Simon Chew,PGT,1,N,31,slyra8
608,10862129,Dominica Cecchi,Dominica,Cecchi,MSc International Business,Politics and International Relations,Kevin Berry,PGR,2,N,1,siyyn2
609,10498309,Cristal Thexton,Cristal,Thexton,BA Hons Geography with Business,Biosciences,Patricia Collins,PGT,2,N,29,fwyaq6
610,10564493,Dolores Pickworth,Dolores,Pickworth,MBA Business Administration,Business School,Simon Chew,UG,3,N,35,cpyvz9
611,10384248,Farah Lapsley,Farah,Lapsley,MSc International Business,Law,Andrew Allen,UG,2,N,7,ypyji4
612,10750351,Haleigh Squelch,Haleigh,Squelch,MSc International Business,Politics and International Relations,Frances Coady,PGR,1,N,8,ewyjf4
613,10447209,Samara Howie,Samara,Howie,BSc Hons Agricultural Business Management,Business School,Kate Beard,PGR,2,N,7,ybyio8
614,10679434,Godard Woolatt,Godard,Woolatt,BSc Hons Agricultural Business Management,Business School,Joshua Clarke,PGR,2,N,4,hsygn7
615,10923879,Curtis Ronald,Curtis,Ronald,BA Hons Geography with Business,Law,Kevin Berry,UG,1,N,47,nzyxz6
616,10271251,Jerrilyn Cadwell,Jerrilyn,Cadwell,MSc International Business,Politics and International Relations,Andrew Allen,PGT,2,N,29,ucydz0
617,10797981,Franky Tarling,Franky,Tarling,BSc Hons Agricultural Business Management,Philosophy,Kevin Berry,PGR,1,N,19,ppyob8
618,10583714,Ragnar Vinck,Ragnar,Vinck,BSc Hons Agricultural Business Management,Biosciences,Allison Chan,PGR,3,N,19,rgymq4
619,10507583,Shay Poulston,Shay,Poulston,MSc Business and Management,Philosophy,Patricia Collins,PGT,1,N,48,ccytx7
620,10965621,Shalna Bourchier,Shalna,Bourchier,MSc Business and Management,Politics and International Relations,Simon Chew,PGR,2,N,43,akyer6
621,10338993,Enrichetta Toe,Enrichetta,Toe,BSc Hons Accounting and Business,Philosophy,Susan Burke,UG,1,N,11,goygw7
622,10753233,Nomi Tobin,Nomi,Tobin,BA Hons Geography with Business,Politics and International Relations,Simon Chew,PGR,1,N,1,bqyzw4
623,10529186,Missy Winchcomb,Missy,Winchcomb,MBA Business Administration,Business School,Andrew Allen,UG,3,N,14,vbyvp2
624,10930974,Byron Linskill,Byron,Linskill,MBA Business Administration,Philosophy,Kate Beard,UG,3,N,23,rwypy3
625,10883356,Electra Jervois,Electra,Jervois,BSc Hons Accounting and Business,Law,Allison Chan,UG,2,N,31,keyrj9
626,10058740,Adlai Dickson,Adlai,Dickson,BA Hons Geography with Business,Business School,Kevin Berry,PGR,3,N,16,fsyfe2
627,10947425,Oralle Oak,Oralle,Oak,BSc Hons Accounting and Business,Business School,Kevin Berry,PGT,3,Y,44,xxygf0
628,10339179,Antoinette De Simoni,Antoinette,De,BSc Hons Agricultural Business Management,Philosophy,Simon Chew,PGT,2,N,44,lnytk3
629,10526666,Leeland Clemonts,Leeland,Clemonts,BSc Hons Agricultural Business Management,Law,Frances Coady,UG,1,N,28,abyoq8
630,10605822,Arlin Tidball,Arlin,Tidball,BA Hons Geography with Business,Philosophy,Andrew Allen,PGR,1,Y,14,kzyzx3
631,10959344,Sabra Dekeyser,Sabra,Dekeyser,BSc Hons Agricultural Business Management,Business School,Kate Beard,UG,4,N,26,txybr4
632,10661561,Diana Perkins,Diana,Perkins,BSc Hons Agricultural Business Management,Biosciences,Andrew Allen,UG,3,N,49,kmydk3
633,10128948,Cosette Twaits,Cosette,Twaits,BSc Hons Accounting and Business,Biosciences,Joshua Clarke,UG,2,N,17,lbypy9
634,10981557,Nerte Caudell,Nerte,Caudell,MSc International Business,Business School,Joshua Clarke,PGT,1,Y,41,ckyer5
635,10416678,Melantha Doveston,Melantha,Doveston,MBA Business Administration,Philosophy,Kevin Berry,PGR,2,N,14,quyev6
636,10196238,Linea Lowth,Linea,Lowth,BA Hons Geography with Business,Biosciences,Allison Chan,PGT,3,N,8,bpygr4
637,10209072,Mortie Pascoe,Mortie,Pascoe,BSc Hons Accounting and Business,Law,Kate Beard,PGR,2,N,50,emyyl0
638,10414228,Karin Ricciardi,Karin,Ricciardi,MSc International Business,Politics and International Relations,Patricia Collins,UG,4,N,29,giyus5
639,10836946,Bryn Gawke,Bryn,Gawke,MBA Business Administration,Law,Andrew Allen,PGR,2,N,46,ilydu5
640,10274385,Tallia Scurman,Tallia,Scurman,BSc Hons Agricultural Business Management,Law,Patricia Collins,UG,3,N,15,swyxt5
641,10963927,Hanni Rouse,Hanni,Rouse,BA Hons Geography with Business,Philosophy,Frances Coady,PGR,1,N,37,yvysc3
642,10620965,Rob Critten,Rob,Critten,MSc International Business,Philosophy,Simon Chew,PGT,2,Y,14,qbyeg3
643,10267784,Janel Lie,Janel,Lie,MSc Business and Management,Politics and International Relations,Kate Beard,UG,3,N,47,kvyrv2
644,10485339,Beau Lutsch,Beau,Lutsch,MBA Business Administration,Politics and International Relations,Kevin Berry,UG,1,N,17,gxytl4
645,10283081,Eleni Giacomelli,Eleni,Giacomelli,MSc International Business,Biosciences,Joshua Clarke,PGT,2,Y,14,cyyeq9
646,10196449,Mellicent Scallan,Mellicent,Scallan,BA Hons Geography with Business,Business School,Joshua Clarke,PGT,3,N,15,yjyvk8
647,10228659,Hilliary Tebbitt,Hilliary,Tebbitt,MBA Business Administration,Biosciences,Frances Coady,UG,1,N,6,ubyov7
648,10597791,Rustie Shardlow,Rustie,Shardlow,MSc Business and Management,Biosciences,Andrew Allen,UG,2,N,23,shyyq8
649,10448045,Earlie Rothermel,Earlie,Rothermel,MSc International Business,Biosciences,Joshua Clarke,PGT,1,N,46,bhylr2
650,10031079,Cissy Keeble,Cissy,Keeble,MSc International Business,Law,Kate Beard,PGT,3,N,21,ukyqh2
651,10145781,Heall Sneezem,Heall,Sneezem,MSc International Business,Philosophy,Allison Chan,UG,3,N,41,brysi0
652,10667335,Etty McKimmey,Etty,McKimmey,MBA Business Administration,Business School,Allison Chan,UG,1,Y,29,smyxb1
653,10879392,Emanuele Gosalvez,Emanuele,Gosalvez,MSc Business and Management,Philosophy,Kate Beard,UG,3,N,13,pyynf5
654,10825526,Pietro Cheeseman,Pietro,Cheeseman,BA Hons Geography with Business,Law,Joshua Clarke,UG,3,N,24,xryui0
655,10624376,Ree Richel,Ree,Richel,MSc Business and Management,Philosophy,Allison Chan,UG,4,N,32,hmyno8
656,10306938,Royal Prevett,Royal,Prevett,MBA Business Administration,Law,Allison Chan,PGR,2,N,10,lwyys5
657,10502542,Gawen Pummery,Gawen,Pummery,BA Hons Geography with Business,Biosciences,Allison Chan,UG,2,N,31,iqyjh8
658,10002727,Iggy Robker,Iggy,Robker,BA Hons Geography with Business,Law,Kate Beard,UG,2,N,30,riyfj3
659,10053687,Rania Shotboult,Rania,Shotboult,MSc Business and Management,Law,Simon Chew,PGR,2,N,8,vkyuf7
660,10837811,Tandy Attewill,Tandy,Attewill,MSc International Business,Biosciences,Patricia Collins,UG,3,N,39,mvybk5
661,10515611,Clemmy Brookson,Clemmy,Brookson,MBA Business Administration,Biosciences,Patricia Collins,PGR,1,N,18,nvypk7
662,10037721,Cora Ewbanck,Cora,Ewbanck,MBA Business Administration,Business School,Patricia Collins,PGR,3,N,1,xcycy2
663,10879911,Edie Bottinelli,Edie,Bottinelli,BSc Hons Accounting and Business,Law,Kate Beard,PGT,1,Y,15,qryxo6
664,10029102,Morgana Jordon,Morgana,Jordon,BSc Hons Accounting and Business,Business School,Andrew Allen,PGT,1,Y,13,yqykm9
665,10725636,Douglas Iwanczyk,Douglas,Iwanczyk,MSc International Business,Law,Joshua Clarke,UG,2,N,33,cxytd7
666,10332787,Pietrek Veltman,Pietrek,Veltman,BSc Hons Agricultural Business Management,Business School,Simon Chew,PGR,2,N,41,osyso5
667,10814141,Anderson Norman,Anderson,Norman,BA Hons Geography with Business,Law,Allison Chan,PGR,2,N,2,ggyqn2
668,10105230,Frederich Elsdon,Frederich,Elsdon,BSc Hons Accounting and Business,Philosophy,Kevin Berry,UG,1,N,34,lcyla5
669,10901112,Kalle Sturch,Kalle,Sturch,BA Hons Geography with Business,Business School,Kevin Berry,UG,1,N,40,gnyzc8
670,10136503,Patrica Scotchmoor,Patrica,Scotchmoor,BA Hons Geography with Business,Philosophy,Patricia Collins,PGT,3,N,32,jmyak9
671,10292211,Ardys Lomath,Ardys,Lomath,BSc Hons Agricultural Business Management,Philosophy,Kevin Berry,UG,1,N,28,fjypx0
672,10231626,Meta Fibbings,Meta,Fibbings,BA Hons Geography with Business,Biosciences,Kate Beard,PGT,3,N,20,ttypq1
673,10033341,Marina Allon,Marina,Allon,BSc Hons Agricultural Business Management,Philosophy,Allison Chan,PGR,2,N,43,edyer1
674,10008239,Marris Clifton,Marris,Clifton,BA Hons Geography with Business,Biosciences,Kevin Berry,PGT,2,N,43,unyjh6
675,10317784,Taryn Butterley,Taryn,Butterley,MSc Business and Management,Philosophy,Frances Coady,PGR,4,N,7,oeych1
676,10532798,Charles Gabala,Charles,Gabala,MSc Business and Management,Business School,Frances Coady,UG,1,N,37,cjydj8
677,10092794,Siana Redmile,Siana,Redmile,MSc International Business,Philosophy,Kate Beard,UG,1,N,34,luycg1
678,10259756,Lewie McAuley,Lewie,McAuley,BSc Hons Agricultural Business Management,Business School,Susan Burke,PGT,4,N,34,wvyuj5
679,10979387,Lura Degnen,Lura,Degnen,BSc Hons Accounting and Business,Politics and International Relations,Joshua Clarke,PGT,2,N,19,xuyop1
680,10444916,Myranda Keeves,Myranda,Keeves,MBA Business Administration,Philosophy,Patricia Collins,PGR,3,N,48,vryrq5
681,10389971,Adair Hansford,Adair,Hansford,BA Hons Geography with Business,Business School,Susan Burke,PGT,3,N,50,tjypk7
682,10864215,Cathrine Marcussen,Cathrine,Marcussen,MSc Business and Management,Biosciences,Allison Chan,PGT,1,N,2,oayps3
683,10127787,Mariquilla Ambrogetti,Mariquilla,Ambrogetti,BA Hons Geography with Business,Law,Simon Chew,UG,2,N,41,obyip1
684,10226104,Heinrik Roffe,Heinrik,Roffe,MSc Business and Management,Business School,Patricia Collins,PGR,1,N,40,qwyqz5
685,10908242,Laurie McInerney,Laurie,McInerney,MSc International Business,Law,Susan Burke,UG,2,N,28,syytu0
686,10522114,Wes Heathfield,Wes,Heathfield,MSc International Business,Business School,Andrew Allen,UG,1,N,27,sjyqd7
687,10204493,Dulci Toppas,Dulci,Toppas,BSc Hons Agricultural Business Management,Biosciences,Kate Beard,UG,1,N,18,erydx1
688,10207746,Warden Classen,Warden,Classen,MBA Business Administration,Business School,Allison Chan,UG,2,N,13,puyrz2
689,10805214,Rey Saltern,Rey,Saltern,MBA Business Administration,Politics and International Relations,Andrew Allen,UG,1,N,42,qeyeh8
690,10791444,Grayce Tuberfield,Grayce,Tuberfield,BA Hons Geography with Business,Business School,Patricia Collins,UG,2,Y,26,hxyfc4
691,10553507,Claudian Rickard,Claudian,Rickard,MBA Business Administration,Philosophy,Andrew Allen,PGR,1,N,30,fsyjw6
692,10264928,Isidor Glasspool,Isidor,Glasspool,BSc Hons Agricultural Business Management,Politics and International Relations,Susan Burke,UG,2,N,45,acyjf4
693,10715226,Claire Caldwell,Claire,Caldwell,MBA Business Administration,Philosophy,Frances Coady,PGR,2,N,29,ocyoo9
694,10266053,Leoline Bolwell,Leoline,Bolwell,BSc Hons Accounting and Business,Law,Susan Burke,UG,1,N,44,tcysi3
695,10745480,Juana Espinoza,Juana,Espinoza,BSc Hons Accounting and Business,Philosophy,Kevin Berry,UG,4,N,36,hayys0
696,10333244,Hy McGrowther,Hy,McGrowther,BA Hons Geography with Business,Business School,Susan Burke,PGT,2,Y,47,mgyla8
697,10733442,Garey Olechnowicz,Garey,Olechnowicz,MSc Business and Management,Philosophy,Susan Burke,UG,3,N,37,qoyqt2
698,10284973,Melonie O'Heaney,Melonie,O'Heaney,BA Hons Geography with Business,Law,Andrew Allen,PGR,3,N,47,kqyys5
699,10779835,Shurlock Creswell,Shurlock,Creswell,MSc Business and Management,Law,Frances Coady,PGT,3,N,12,qjybk6
700,10470116,Warren Twydell,Warren,Twydell,BA Hons Geography with Business,Biosciences,Andrew Allen,PGR,2,N,1,hdyqq0
701,10895437,Milicent Clow,Milicent,Clow,MSc Business and Management,Biosciences,Kevin Berry,UG,1,N,36,dcyus1
702,10928587,Jaye O'Hartagan,Jaye,O'Hartagan,BSc Hons Agricultural Business Management,Politics and International Relations,Simon Chew,PGR,1,N,17,fryab0
703,10458048,Shepherd Mathey,Shepherd,Mathey,MBA Business Administration,Business School,Simon Chew,PGT,3,N,18,jqylc4
704,10638989,Minor Domingues,Minor,Domingues,MSc Business and Management,Politics and International Relations,Susan Burke,UG,3,N,23,ylyvw5
705,10521997,Irving Simes,Irving,Simes,MSc International Business,Law,Simon Chew,PGT,2,N,6,swyrz3
706,10437216,Neel Deeley,Neel,Deeley,BA Hons Geography with Business,Law,Susan Burke,PGT,2,N,7,heyxi6
707,10848417,Thain Sibyllina,Thain,Sibyllina,BSc Hons Accounting and Business,Business School,Susan Burke,PGT,4,N,24,zryvr2
708,10251936,Jules Tregidgo,Jules,Tregidgo,BSc Hons Agricultural Business Management,Politics and International Relations,Andrew Allen,PGR,1,N,30,snyfj9
709,10128683,Heinrik Bollam,Heinrik,Bollam,BSc Hons Agricultural Business Management,Politics and International Relations,Andrew Allen,PGR,2,N,3,wlyfg3
710,10634260,Meggie Roskilly,Meggie,Roskilly,BSc Hons Agricultural Business Management,Politics and International Relations,Kevin Berry,PGR,1,Y,25,kkyqk4
711,10852295,Kerwin Giannoni,Kerwin,Giannoni,BSc Hons Accounting and Business,Politics and International Relations,Patricia Collins,PGR,4,N,32,tkyuu5
712,10566692,Sadye BoHlingolsen,Sadye,BoHlingolsen,MBA Business Administration,Politics and International Relations,Frances Coady,PGT,1,N,47,rfynf1
713,10511612,Waly Hayselden,Waly,Hayselden,MSc Business and Management,Law,Simon Chew,PGT,1,Y,48,hoywb4
714,10515277,Moe McTaggart,Moe,McTaggart,BA Hons Geography with Business,Business School,Joshua Clarke,PGR,1,Y,42,puyhl0
715,10729171,Maegan Rampley,Maegan,Rampley,MSc International Business,Philosophy,Simon Chew,UG,3,N,45,puyco3
716,10442828,Eachelle Garza,Eachelle,Garza,MSc Business and Management,Biosciences,Kevin Berry,PGT,1,N,23,bvyxx4
717,10428337,Roda Gravy,Roda,Gravy,BSc Hons Accounting and Business,Biosciences,Kate Beard,UG,2,N,31,pvytr7
718,10716122,Jobi Norsister,Jobi,Norsister,BSc Hons Accounting and Business,Philosophy,Kevin Berry,PGR,1,N,46,lsykp7
719,10409054,Genovera Chesterman,Genovera,Chesterman,BSc Hons Agricultural Business Management,Business School,Kevin Berry,UG,3,Y,21,clywv2
720,10422211,Gerri Wrotchford,Gerri,Wrotchford,BSc Hons Accounting and Business,Philosophy,Allison Chan,PGR,1,N,45,fpyxg6
721,10687566,Dorena Januszewski,Dorena,Januszewski,BSc Hons Agricultural Business Management,Business School,Frances Coady,PGT,2,Y,11,vgyjw2
722,10485053,Claudina Loughton,Claudina,Loughton,BSc Hons Agricultural Business Management,Law,Kate Beard,PGR,3,N,9,luyjt6
723,10330391,Nikos Paolotto,Nikos,Paolotto,BA Hons Geography with Business,Philosophy,Simon Chew,PGR,1,N,45,yfyah9
724,10203271,Janessa Frier,Janessa,Frier,BA Hons Geography with Business,Law,Kate Beard,PGR,1,N,6,wfydz7
725,10472307,Cointon Cropp,Cointon,Cropp,MSc Business and Management,Politics and International Relations,Susan Burke,UG,3,N,42,vsyni4
726,10955001,Hendrick Caraher,Hendrick,Caraher,MSc International Business,Biosciences,Andrew Allen,PGT,2,N,7,jyydk3
727,10840128,Reena McGavigan,Reena,McGavigan,MSc International Business,Philosophy,Susan Burke,PGR,1,Y,3,qtypl3
728,10408525,Ree Czaple,Ree,Czaple,BSc Hons Agricultural Business Management,Law,Patricia Collins,PGR,3,N,40,njync4
729,10651257,Avery Harriss,Avery,Harriss,MSc Business and Management,Philosophy,Joshua Clarke,UG,1,N,26,nrygs7
730,10312028,Melba Just,Melba,Just,BA Hons Geography with Business,Politics and International Relations,Susan Burke,PGT,3,N,28,iayya1
731,10468187,Levin Vaudre,Levin,Vaudre,MBA Business Administration,Philosophy,Patricia Collins,PGR,1,N,40,fpyzk7
732,10597481,Stearn Sleeny,Stearn,Sleeny,MBA Business Administration,Philosophy,Susan Burke,UG,2,N,38,muydx4
733,10073841,Angus Durtnal,Angus,Durtnal,BSc Hons Agricultural Business Management,Law,Simon Chew,PGT,4,N,49,zcyhq9
734,10742555,Paulita Benard,Paulita,Benard,BA Hons Geography with Business,Philosophy,Frances Coady,PGT,3,N,33,zyybu6
